Project;Trip;Longitude;Latitude;DateTime;Station;Bott Depth M;Parameter;Layer;Taxa;Stage;Size_class;abundance-AB;abundance-AB Unit
Atvērtie Monitoringa dati;Monit-2019-02a;23.983300;57.100000;2019-09-26T12:25:00;101A;21.70;Zooplankton;0-19;Evadne nordmanni;;;0.0000;ind/m3
Atvērtie Monitoringa dati;Monit-2019-02a;23.983300;57.100000;2019-09-26T12:25:00;101A;21.70;Zooplankton;0-19;Cercopagis pengoi;;;8.2100;ind/m3
Atvērtie Monitoringa dati;Monit-2019-02a;23.983300;57.100000;2019-09-26T12:25:00;101A;21.70;Zooplankton;0-19;Pleopis polyphemoides;;0.3-0.4;105.2600;ind/m3
Atvērtie Monitoringa dati;Monit-2019-02a;23.983300;57.100000;2019-09-26T12:25:00;101A;21.70;Zooplankton;0-19;Cyclopoida unidentified;I-III;;526.3200;ind/m3
Atvērtie Monitoringa dati;Monit-2019-02a;23.983300;57.100000;2019-09-26T12:25:00;101A;21.70;Zooplankton;0-19;Cyclopoida unidentified;N;;631.5800;ind/m3
Atvērtie Monitoringa dati;Monit-2019-02a;23.983300;57.100000;2019-09-26T12:25:00;101A;21.70;Zooplankton;0-19;Limnocalanus macrurus;N;;105.2600;ind/m3
Atvērtie Monitoringa dati;Monit-2019-02a;23.983300;57.100000;2019-09-26T12:25:00;101A;21.70;Zooplankton;0-19;Keratella cochlearis;;;22736.8400;ind/m3
Atvērtie Monitoringa dati;Monit-2019-02a;23.983300;57.100000;2019-09-26T12:25:00;101A;21.70;Zooplankton;0-19;Keratella quadrata;;;12210.5300;ind/m3
Atvērtie Monitoringa dati;Monit-2019-02a;23.983300;57.100000;2019-09-26T12:25:00;101A;21.70;Zooplankton;0-19;Synchaeta baltica;;;51578.9500;ind/m3
Atvērtie Monitoringa dati;Monit-2019-02a;23.983300;57.100000;2019-09-26T12:25:00;101A;21.70;Zooplankton;0-19;Synchaeta monopus;;;19473.6800;ind/m3
Atvērtie Monitoringa dati;Monit-2019-02a;23.983300;57.100000;2019-09-26T12:25:00;101A;21.70;Zooplankton;0-19;Amphibalanus unidentified larvae;;;210.5300;ind/m3
Atvērtie Monitoringa dati;Monit-2019-02a;23.983300;57.100000;2019-09-26T12:25:00;101A;21.70;Zooplankton;0-19;Bivalvia unidentified larvae;;;105.2600;ind/m3
Atvērtie Monitoringa dati;Monit-2019-02a;23.983300;57.100000;2019-09-26T12:25:00;101A;21.70;Zooplankton;0-19;Keratella cruciformis;;;105.2600;ind/m3
Atvērtie Monitoringa dati;Monit-2019-02a;23.983300;57.100000;2019-09-26T12:25:00;101A;21.70;Zooplankton;0-19;Acartia sp;F;;421.0500;ind/m3
Atvērtie Monitoringa dati;Monit-2019-02a;23.983300;57.100000;2019-09-26T12:25:00;101A;21.70;Zooplankton;0-19;Acartia sp;I;;7368.4200;ind/m3
Atvērtie Monitoringa dati;Monit-2019-02a;23.983300;57.100000;2019-09-26T12:25:00;101A;21.70;Zooplankton;0-19;Acartia sp;II;;5368.4200;ind/m3
Atvērtie Monitoringa dati;Monit-2019-02a;23.983300;57.100000;2019-09-26T12:25:00;101A;21.70;Zooplankton;0-19;Acartia sp;III;;4105.2600;ind/m3
Atvērtie Monitoringa dati;Monit-2019-02a;23.983300;57.100000;2019-09-26T12:25:00;101A;21.70;Zooplankton;0-19;Acartia sp;IV;;2210.5300;ind/m3
Atvērtie Monitoringa dati;Monit-2019-02a;23.983300;57.100000;2019-09-26T12:25:00;101A;21.70;Zooplankton;0-19;Acartia sp;V;;1157.8900;ind/m3
Atvērtie Monitoringa dati;Monit-2019-02a;23.983300;57.100000;2019-09-26T12:25:00;101A;21.70;Zooplankton;0-19;Acartia sp;N;;46210.5300;ind/m3
Atvērtie Monitoringa dati;Monit-2019-02a;23.983300;57.100000;2019-09-26T12:25:00;101A;21.70;Zooplankton;0-19;Eurytemora sp;I;;526.3200;ind/m3
Atvērtie Monitoringa dati;Monit-2019-02a;23.983300;57.100000;2019-09-26T12:25:00;101A;21.70;Zooplankton;0-19;Eurytemora sp;II;;210.5300;ind/m3
Atvērtie Monitoringa dati;Monit-2019-02a;23.983300;57.100000;2019-09-26T12:25:00;101A;21.70;Zooplankton;0-19;Eurytemora sp;III;;105.2600;ind/m3
Atvērtie Monitoringa dati;Monit-2019-02a;23.983300;57.100000;2019-09-26T12:25:00;101A;21.70;Zooplankton;0-19;Eurytemora sp;IV;;105.2600;ind/m3
Atvērtie Monitoringa dati;Monit-2019-02a;23.983300;57.100000;2019-09-26T12:25:00;101A;21.70;Zooplankton;0-19;Eurytemora sp;N;;631.7800;ind/m3
Atvērtie Monitoringa dati;Monit-2019-02a;23.983300;57.100000;2019-09-26T12:25:00;101A;21.70;Zooplankton;0-19;Acartia sp;M;;105.2600;ind/m3
Atvērtie Monitoringa dati;Monit-20-01b;21.595300;57.566600;2020-05-26T14:29:00;OV;12.20;Zooplankton;0-10;Acartia sp;I;;800.0000;ind/m3
Atvērtie Monitoringa dati;Monit-20-01b;21.595300;57.566600;2020-05-26T14:29:00;OV;12.20;Zooplankton;0-10;Acartia sp;II;;800.0000;ind/m3
Atvērtie Monitoringa dati;Monit-20-01b;21.595300;57.566600;2020-05-26T14:29:00;OV;12.20;Zooplankton;0-10;Acartia sp;III;;375.0000;ind/m3
Atvērtie Monitoringa dati;Monit-20-01b;21.595300;57.566600;2020-05-26T14:29:00;OV;12.20;Zooplankton;0-10;Acartia sp;N;;6250.0000;ind/m3
Atvērtie Monitoringa dati;Monit-20-01b;21.595300;57.566600;2020-05-26T14:29:00;OV;12.20;Zooplankton;0-10;Eurytemora affinis;I;;1825.0000;ind/m3
Atvērtie Monitoringa dati;Monit-20-01b;21.595300;57.566600;2020-05-26T14:29:00;OV;12.20;Zooplankton;0-10;Eurytemora affinis;III;;1275.0000;ind/m3
Atvērtie Monitoringa dati;Monit-20-01b;21.595300;57.566600;2020-05-26T14:29:00;OV;12.20;Zooplankton;0-10;Eurytemora affinis;IV;;725.0000;ind/m3
Atvērtie Monitoringa dati;Monit-20-01b;21.595300;57.566600;2020-05-26T14:29:00;OV;12.20;Zooplankton;0-10;Eurytemora affinis;II;;2300.0000;ind/m3
Atvērtie Monitoringa dati;Monit-20-01b;21.595300;57.566600;2020-05-26T14:29:00;OV;12.20;Zooplankton;0-10;Eurytemora affinis;V;;225.0000;ind/m3
Atvērtie Monitoringa dati;Monit-20-01b;21.595300;57.566600;2020-05-26T14:29:00;OV;12.20;Zooplankton;0-10;Eurytemora affinis;N;;4900.0000;ind/m3
Atvērtie Monitoringa dati;Monit-20-01b;21.595300;57.566600;2020-05-26T14:29:00;OV;12.20;Zooplankton;0-10;Synchaeta baltica;;;26750.0000;ind/m3
Atvērtie Monitoringa dati;Monit-20-01b;21.595300;57.566600;2020-05-26T14:29:00;OV;12.20;Zooplankton;0-10;Synchaeta monopus;;;13750.0000;ind/m3
